BS 342	BS 342	23/09/2026	02:20	16:20	 D7	DHAKA (DAC)	International	Scheduled	 Detail
EK 103	EK 103	23/09/2026	16:20	16:20	 C3	ATTICA (ATH)	International	Scheduled	 Detail
MS 913	MS 913	23/09/2026	16:20	16:20	 D13	CAIRO (CAI)	International	Scheduled	 Detail
PK 212	PK 212	23/09/2026	16:30	16:30	 D15	PUNJAB (ISB)	International	Scheduled	 Detail
FZ 1581	FZ 1581	23/09/2026	16:35	16:35	 C17	NAIROBI AREA (NBO)	International	Scheduled	 Detail
FZ 967	FZ 967	23/09/2026	16:35	16:35	 F9	MOSKOVSKAYA (VKO)	International	Scheduled	 Detail
PF 787	PF 787	23/09/2026	16:40	16:40	 D8	PUNJAB (LHE)	International	Scheduled	 Detail
EK 584	EK 584	23/09/2026	16:45	16:45	 B8	DHAKA (DAC)	International	Scheduled	 Detail
EK 817	EK 817	23/09/2026	16:45	16:45	 B25	AR RIYAD (RUH)	International	Scheduled	 Detail
EK 69	EK 69	23/09/2026	16:50	16:50	 A13	ENGLAND (LGW)	International	Scheduled	 Detail
WY 610	WY 610	23/09/2026	16:50	16:50	 D17	MUHAFAZAT MASQAT (MCT)	International	Scheduled	 Detail
EK 336	EK 336	23/09/2026	17:00	17:00	 B11	METRO MANILA (MNL)	International	Scheduled	 Detail
GF 507	GF 507	23/09/2026	17:00	17:00	 D8	MUHARRAQ (BAH)	International	Scheduled	 Detail
IX 612	IX 612	23/09/2026	17:00	17:00	 F4	TAMIL NADU (TRZ)	International	Scheduled	 Detail
IX 832	IX 832	23/09/2026	17:00	17:00	 F3	KARNATAKA (IXE)	International	Scheduled	 Detail
FZ 1807	FZ 1807	23/09/2026	17:05	17:05	 C15	CENTRAL DISTRICT (TLV)	International	Scheduled	 Detail
ET 603	ET 603	23/09/2026	17:10	17:10	 D6	ADIS ABEBA (ADD)	International	Scheduled	 Detail
FZ 27	FZ 27	23/09/2026	17:10	17:10	 F7	MUHARRAQ (BAH)	International	Scheduled	 Detail
FZ 991	FZ 991	23/09/2026	17:10	17:10	 F8	ST. PETERSBURG (LED)	International	Scheduled	 Detail
FZ 9	FZ 9	23/09/2026	17:15	17:15	 F6	BALADIYAT AD DAWHAH (DOH)	International	Scheduled	 Detail
PA 411	PA 411	23/09/2026	17:15	17:15	 D17	PUNJAB (LHE)	International	Canceled	 Detail
FZ 573	FZ 573	23/09/2026	17:20	17:20	 F9	KATHMANDU (KTM)	International	Scheduled	 Detail
FZ 733	FZ 733	23/09/2026	17:20	17:20	 F12	BAKI (GYD)	International	Scheduled	 Detail
SV 589	SV 589	23/09/2026	17:30	17:30	 D16	MAKKAH (JED)	International	Scheduled	 Detail
FZ 951	FZ 951	23/09/2026	17:35	17:35	 F10	MOSKOVSKAYA (VKO)	International	Scheduled	 Detail
6E 1454	6E 1454	23/09/2026	17:40	17:40	 D18	MAHARASHTRA (BOM)	International	Scheduled	 Detail
FZ 985	FZ 985	23/09/2026	17:40	17:40	 F5	BASHKORTOSTAN (UFA)	International	Scheduled	 Detail
FZ 983	FZ 983	23/09/2026	17:45	17:45	 F11	TATARSTAN (KZN)	International	Scheduled	 Detail
XY 206	XY 206	23/09/2026	17:45	17:45	 D5	AR RIYAD (RUH)	International	Scheduled	 Detail
FZ 1405	FZ 1405	23/09/2026	17:50	17:50	 B4	PEST (BUD)	International	Scheduled	 Detail
FZ 1715	FZ 1715	23/09/2026	17:50	17:50	 C13	MINSK (MSQ)	International	Scheduled	 Detail
6E 1484	6E 1484	23/09/2026	17:55	17:55	 D12	MAHARASHTRA (PNQ)	International	Scheduled	 Detail
FZ 995	FZ 995	23/09/2026	17:55	17:55	 F6	SAMARA (KUF)	International	Scheduled	 Detail
EK 117	EK 117	23/09/2026	18:00	18:00	 B10	ISTANBUL (IST)	International	Scheduled	 Detail
EK 602	EK 602	23/09/2026	18:00	18:00	 B9	SINDH (KHI)	International	Scheduled	 Detail
