TK 3001	TK 3001	23/09/2026	11:05	11:05		ANKARA (ESB)	Domestic	Scheduled	 Detail
U6 773	U6 773	23/09/2026	10:50	11:08		SVERDLOVSK (SVX)	International	Active	 Detail
PC 2431	PC 2431	23/09/2026	11:10	11:10		MARDIN (MQM)	Domestic	Active	 Detail
TK 216	TK 216	23/09/2026	11:15	11:10		SAO PAULO (GRU)	International	Active	 Detail
TK 361	TK 361	23/09/2026	11:15	11:11		ARMAVIR (EVN)	International	Active	 Detail
PC 2491	PC 2491	23/09/2026	11:15	11:15		MUS (MSR)	Domestic	Scheduled	 Detail
TK 3269	TK 3269	23/09/2026	11:15	11:15		NEVSEHIR (NAV)	Domestic	Scheduled	 Detail
TO 3420	TO 3420	23/09/2026	11:15	11:15		PAYS DE LA LOIRE (NTE)	International	Scheduled	 Detail
TK 1890	TK 1890	23/09/2026	11:25	11:18		LOWER AUSTRIA (VIE)	International	Active	 Detail
PC 2591	PC 2591	23/09/2026	11:20	11:20		KARS (KSY)	Domestic	Active	 Detail
PC 2791	PC 2791	23/09/2026	11:20	11:20		SAMSUN (SZF)	Domestic	Scheduled	 Detail
PC 2823	PC 2823	23/09/2026	11:20	11:20		TRABZON (TZX)	Domestic	Active	 Detail
TK 1004	TK 1004	23/09/2026	11:20	11:20		PETROVEC (SKP)	International	Scheduled	 Detail
TK 175	TK 175	23/09/2026	11:20	11:20		NEGERI SEMBILAN (KUL)	International	Active	 Detail
TK 154	TK 154	23/09/2026	11:25	11:25		LEFKOSIA (ECN)	International	Scheduled	 Detail
VF 3229	VF 3229	23/09/2026	11:25	11:25		GAZIANTEP (GZT)	Domestic	Scheduled	 Detail
TK 763	TK 763	23/09/2026	11:20	11:26		DUBAI (DXB)	International	Active	 Detail
TK 721	TK 721	23/09/2026	11:20	11:27		MAHARASHTRA (BOM)	International	Active	 Detail
BJ 640	BJ 640	23/09/2026	11:30	11:30		ARIANA (TUN)	International	Active	 Detail
TK 1668	TK 1668	23/09/2026	11:25	11:31		HAMBURG (HAM)	International	Active	 Detail
TK 408	TK 408	23/09/2026	11:35	11:31		MOSKOVSKAYA (VKO)	International	Active	 Detail
PC 2179	PC 2179	23/09/2026	11:35	11:35		IZMIR (ADB)	Domestic	Scheduled	 Detail
PC 2373	PC 2373	23/09/2026	11:35	11:35		BATMAN (BAL)	Domestic	Scheduled	 Detail
PC 2381	PC 2381	23/09/2026	11:35	11:35		DIYARBAKIR (DIY)	Domestic	Scheduled	 Detail
TK 961	TK 961	23/09/2026	11:35	11:35		LEFKOSIA (ECN)	International	Scheduled	 Detail
QR 239	QR 239	23/09/2026	11:55	11:36		BALADIYAT AD DAWHAH (DOH)	International	Active	 Detail
TK 1912	TK 1912	23/09/2026	11:40	11:40		ZURICH (ZRH)	International	Active	 Detail
TU 214	TU 214	23/09/2026	11:40	11:40		ARIANA (TUN)	International	Active	 Detail
TK 1942	TK 1942	23/09/2026	11:45	11:42		FLANDERS (BRU)	International	Active	 Detail
A3 440	A3 440	23/09/2026	11:45	11:45		SOUTH AEGEAN (JMK)	International	Scheduled	 Detail
J2 75	J2 75	23/09/2026	11:45	11:45		BAKI (GYD)	International	Active	 Detail
PC 771	PC 771	23/09/2026	11:45	11:45		ALEPPO (ALP)	International	Scheduled	 Detail
QB 2213	QB 2213	23/09/2026	11:45	11:45		TEHRAN (IKA)	International	Scheduled	 Detail
SU 630	SU 630	23/09/2026	11:45	11:45		SVERDLOVSK (SVX)	International	Active	 Detail
TK 1048	TK 1048	23/09/2026	11:45	11:45		CLUJ (CLJ)	International	Scheduled	 Detail
TK 2443	TK 2443	23/09/2026	11:55	11:45		ANTALYA (AYT)	Domestic	Scheduled	 Detail
TK 612	TK 612	23/09/2026	12:05	11:46		CENTRAL REGION (EBB)	International	Active	 Detail
KU 155	KU 155	23/09/2026	11:50	11:50		AL FARWANIYAH (KWI)	International	Active	 Detail
PC 1913	PC 1913	23/09/2026	11:50	11:50		LEFKOSIA (ECN)	International	Scheduled	 Detail
S7 5889	S7 5889	23/09/2026	11:50	11:50		NOVOSIBIRSK (OVB)	International	Active	 Detail
TK 1082	TK 1082	23/09/2026	11:50	11:50		CENTRAL SERBIA (BEG)	International	Scheduled	 Detail
TK 2003	TK 2003	23/09/2026	11:50	11:50		NEVSEHIR (NAV)	Domestic	Scheduled	 Detail
TK 2737	TK 2737	23/09/2026	11:50	11:50		KASTAMONU (KFS)	Domestic	Scheduled	 Detail
TK 1830	TK 1830	23/09/2026	12:00	11:52		PARIS (CDG)	International	Active	 Detail
HY 275	HY 275	23/09/2026	11:55	11:55		SAMARQAND (SKD)	International	Active	 Detail
PC 2091	PC 2091	23/09/2026	11:55	11:55		CASTELO BRANCO (COV)	International	Scheduled	 Detail
PC 3304	PC 3304	23/09/2026	11:55	11:55		IZMIR (ADB)	Domestic	Scheduled	 Detail
TK 1950	TK 1950	23/09/2026	11:55	11:55		NORTH HOLLAND (AMS)	International	Active	 Detail
TK 2555	TK 2555	23/09/2026	11:55	11:55		MUGLA (DLM)	Domestic	Scheduled	 Detail
TK 2593	TK 2593	23/09/2026	11:55	11:55		ANTALYA (GZP)	Domestic	Scheduled	 Detail
TK 2843	TK 2843	23/09/2026	11:55	11:55		SINOP (NOP)	Domestic	Scheduled	 Detail
TK 1748	TK 1748	23/09/2026	12:10	11:56		AKERSHUS (OSL)	International	Active	 Detail
TK 563	TK 563	23/09/2026	12:15	11:59		ARUSHA (JRO)	International	Active	 Detail
IS 7340	IS 7340	23/09/2026	11:00	12:00		TEHRAN (IKA)	International	Active	 Detail
PC 2007	PC 2007	23/09/2026	12:00	12:00		ANTALYA (AYT)	Domestic	Scheduled	 Detail
TK 2127	TK 2127	23/09/2026	12:00	12:00		ANKARA (ESB)	Domestic	Scheduled	 Detail
TK 2313	TK 2313	23/09/2026	12:00	12:00		IZMIR (ADB)	Domestic	Scheduled	 Detail
TK 3067	TK 3067	23/09/2026	12:00	12:00		IZMIR (ADB)	Domestic	Scheduled	 Detail
TK 567	TK 567	23/09/2026	12:00	12:00		ZANZIBAR URBAN/WEST (ZNZ)	International	Active	 Detail
VF 3187	VF 3187	23/09/2026	12:00	12:00		DIYARBAKIR (DIY)	Domestic	Scheduled	 Detail
TK 1988	TK 1988	23/09/2026	12:20	12:02		ENGLAND (LHR)	International	Active	 Detail
TK 375	TK 375	23/09/2026	12:05	12:09		SAMARQAND (SKD)	International	Active	 Detail
PC 2269	PC 2269	23/09/2026	12:10	12:10		MUGLA (BJV)	Domestic	Scheduled	 Detail
TK 438	TK 438	23/09/2026	12:10	12:10		DUBROVACKO-NERETVANSKA (DBV)	International	Scheduled	 Detail
TK 831	TK 831	23/09/2026	12:10	12:10		MONT-LIBAN (BEY)	International	Scheduled	 Detail
TK 1844	TK 1844	23/09/2026	12:00	12:11		ATTICA (ATH)	International	Scheduled	 Detail
TK 1022	TK 1022	23/09/2026	12:10	12:14		FEDERATION OF BOSNIA AND HERZEGOVINA (SJJ)	International	Scheduled	 Detail
TK 1036	TK 1036	23/09/2026	12:15	12:15		PEST (BUD)	International	Scheduled	 Detail
TK 1074	TK 1074	23/09/2026	12:15	12:15		TIRANE (TIA)	International	Scheduled	 Detail
TK 1086	TK 1086	23/09/2026	12:15	12:15		MOJANOVICI (TGD)	International	Scheduled	 Detail
TK 2013	TK 2013	23/09/2026	12:15	12:15		KAYSERI (ASR)	Domestic	Scheduled	 Detail
VF 3295	VF 3295	23/09/2026	12:15	12:15		RIZE–ARTVIN AIRPORT (RZV)	Domestic	Scheduled	 Detail
TK 667	TK 667	23/09/2026	12:00	12:19		NSIMALEN AIRPORT (NSI)	International	Active	 Detail
PC 2287	PC 2287	23/09/2026	12:20	12:20		MUGLA (DLM)	Domestic	Scheduled	 Detail
SU 2172	SU 2172	23/09/2026	12:20	12:20		MOSCOW (SVO)	International	Active	 Detail
TK 3221	TK 3221	23/09/2026	12:20	12:20		SANLIURFA (GNY)	Domestic	Scheduled	 Detail
TK 368	TK 368	23/09/2026	12:20	12:20		TIRANE (TIA)	International	Scheduled	 Detail
SV 259	SV 259	23/09/2026	12:25	12:22		AL MADINAH AL MUNAWWARAH (MED)	International	Active	 Detail
TK 2583	TK 2583	23/09/2026	12:25	12:25		TOKAT (TJK)	Domestic	Scheduled	 Detail
TK 2659	TK 2659	23/09/2026	12:25	12:25		SIVAS (VAS)	Domestic	Scheduled	 Detail
TK 3033	TK 3033	23/09/2026	12:25	12:25		ANTALYA (AYT)	Domestic	Scheduled	 Detail
EY 541	EY 541	23/09/2026	12:35	12:28		ABU DHABI (AUH)	International	Active	 Detail
TK 197	TK 197	23/09/2026	12:10	12:29		BEIJING CAPITAL INTERNATIONAL AIRPORT (PEK)	International	Active	 Detail
PC 4037	PC 4037	23/09/2026	12:30	12:30		ANTALYA (AYT)	Domestic	Scheduled	 Detail
PC 982	PC 982	23/09/2026	12:30	12:30		BERLIN (BER)	International	Scheduled	 Detail
TK 2459	TK 2459	23/09/2026	12:30	12:30		CASTELO BRANCO (COV)	International	Scheduled	 Detail
TK 2849	TK 2849	23/09/2026	12:30	12:30		ORDU (OGU)	Domestic	Scheduled	 Detail
TK 771	TK 771	23/09/2026	10:25	12:35		AL FARWANIYAH (KWI)	International	Active	 Detail
PC 2665	PC 2665	23/09/2026	12:35	12:35		ANKARA (ESB)	Domestic	Scheduled	 Detail
TK 2201	TK 2201	23/09/2026	12:35	12:35		KAHRAMANMARAS (KCM)	Domestic	Scheduled	 Detail
TK 2505	TK 2505	23/09/2026	12:35	12:35		MUGLA (BJV)	Domestic	Scheduled	 Detail
VF 192	VF 192	23/09/2026	12:35	12:35		MAKKAH (JED)	International	Active	 Detail
TK 731	TK 731	23/09/2026	12:50	12:37		CMB (CMB)	International	Active	 Detail
PC 1006	PC 1006	23/09/2026	12:40	12:40		DUSSELDORF (DUS)	International	Scheduled	 Detail
TK 1780	TK 1780	23/09/2026	12:40	12:41		LISBON (LIS)	International	Active	 Detail
TK 36	TK 36	23/09/2026	12:25	12:42		QUEBEC (YUL)	International	Active	 Detail
W9 5327	W9 5327	23/09/2026	13:10	12:44		ENGLAND (LTN)	International	Scheduled	 Detail
PC 2501	PC 2501	23/09/2026	12:45	12:45		VAN (VAN)	Domestic	Scheduled	 Detail
RJ 165	RJ 165	23/09/2026	12:45	12:45		AMMAN (AMM)	International	Scheduled	 Detail
TK 2253	TK 2253	23/09/2026	12:45	12:45		HATAY (HTY)	Domestic	Scheduled	 Detail
TK 315	TK 315	23/09/2026	12:45	12:45		ARBIL (EBL)	International	Scheduled	 Detail
TK 817	TK 817	23/09/2026	12:45	12:45		AMMAN (AMM)	International	Scheduled	 Detail
TK 1360	TK 1360	23/09/2026	13:00	12:49		MADRID (MAD)	International	Active	 Detail
KOC 2	KOC 2	23/09/2026	12:50	12:50		NEW JERSEY (TEB)	International	Active	 Detail
PC 2185	PC 2185	23/09/2026	12:50	12:50		IZMIR (ADB)	Domestic	Scheduled	 Detail
TK 2653	TK 2653	23/09/2026	12:50	12:50		ERZINCAN (ERC)	Domestic	Scheduled	 Detail
